DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8192025,0,40.81149474236145,-110.711367417663,39,1006.8,20.6,-9.8,15.6,210,12.1,0.0,12
8192025,1,40.81149474236145,-110.711367417663,39,1006.3,20.2,-9.1,15.8,228,8.7,0.0,13
8192025,2,40.81149474236145,-110.711367417663,39,1007.6,17.7,-10.2,13.8,248,3.9,0.0,14
8192025,3,40.81149474236145,-110.711367417663,39,1008.9,14.5,-9.6,10.5,201,5.0,0.0,18
8192025,4,40.81149474236145,-110.711367417663,39,1010.5,13.1,-11.4,9.1,184,4.7,0.0,17
8192025,5,40.81149474236145,-110.711367417663,39,1010.7,12.2,-11.4,7.6,168,8.5,0.0,18
8192025,6,40.81149474236145,-110.711367417663,39,1010.9,11.7,-11.9,6.6,157,11.8,0.0,18
8192025,7,40.81149474236145,-110.711367417663,39,1011.6,11.7,-13.4,6.5,164,11.6,0.0,16
8192025,8,40.81149474236145,-110.711367417663,39,1011.4,11.6,-13.4,6.3,167,12.6,0.0,16
8192025,9,40.81149474236145,-110.711367417663,39,1011.4,11.0,-13.2,5.2,158,15.5,0.0,17
8192025,10,40.81149474236145,-110.711367417663,39,1011.3,10.6,-10.9,4.7,159,17.3,0.0,21
8192025,11,40.81149474236145,-110.711367417663,39,1011.0,11.3,-12.9,5.7,171,14.6,0.0,17
8192025,12,40.81149474236145,-110.711367417663,39,1011.9,11.7,-13.3,6.2,175,13.7,0.0,16
8192025,13,40.81149474236145,-110.711367417663,39,1012.2,11.3,-12.9,5.6,189,15.3,0.0,17
8192025,14,40.81149474236145,-110.711367417663,39,1012.4,12.6,-12.6,7.5,189,11.3,0.0,16
8192025,15,40.81149474236145,-110.711367417663,39,1012.5,17.4,-9.5,13.3,211,6.3,0.0,15
8192025,16,40.81149474236145,-110.711367417663,39,1013.0,19.5,-9.7,14.5,233,12.6,0.0,13
8192025,17,40.81149474236145,-110.711367417663,39,1012.4,20.7,-9.7,16.4,247,13.7,0.0,12
8192025,18,40.81149474236145,-110.711367417663,39,1011.6,21.8,-8.9,18.5,247,12.1,0.0,12
8192025,19,40.81149474236145,-110.711367417663,39,1010.2,22.5,-7.3,20.4,204,8.7,0.0,13
8192025,20,40.81149474236145,-110.711367417663,39,1009.5,22.6,-9.4,20.0,233,7.2,0.0,11
8192025,21,40.81149474236145,-110.711367417663,39,1008.6,22.1,-8.7,17.8,357,7.6,0.0,12
8192025,22,40.81149474236145,-110.711367417663,39,1007.9,22.2,-8.6,17.1,300,13.7,0.0,12
8192025,23,40.81149474236145,-110.711367417663,39,1007.4,21.8,-10.0,16.8,315,11.7,0.0,11
8192025,24,40.81149474236145,-110.711367417663,39,1007.3,22.0,-11.1,16.6,330,13.7,0.0,10
