DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8102025,0,33.66853364420155,-110.21078151941501,0,1003.8,33.6,4.3,28.6,317,25.2,0.0,16
8102025,1,33.66853364420155,-110.21078151941501,0,1004.8,31.6,4.4,26.9,36,23.5,0.0,18
8102025,2,33.66853364420155,-110.21078151941501,0,1004.4,29.6,5.0,26.9,63,9.7,0.0,21
8102025,3,33.66853364420155,-110.21078151941501,0,1005.2,26.7,6.7,23.0,145,19.4,0.0,28
8102025,4,33.66853364420155,-110.21078151941501,0,1006.7,25.5,5.7,21.6,143,19.8,0.0,28
8102025,5,33.66853364420155,-110.21078151941501,0,1007.5,25.8,3.7,22.1,150,15.3,0.0,24
8102025,6,33.66853364420155,-110.21078151941501,0,1007.9,24.8,2.8,22.0,219,7.9,0.0,24
8102025,7,33.66853364420155,-110.21078151941501,0,1008.7,23.4,2.8,20.7,212,6.8,0.0,26
8102025,8,33.66853364420155,-110.21078151941501,0,1008.9,23.5,2.9,19.9,222,14.0,0.0,26
8102025,9,33.66853364420155,-110.21078151941501,0,1010.5,21.3,8.2,14.6,229,42.9,0.0,43
8102025,10,33.66853364420155,-110.21078151941501,0,1011.2,21.3,8.2,16.5,227,30.1,0.0,43
8102025,11,33.66853364420155,-110.21078151941501,0,1011.9,20.6,7.9,19.7,121,2.1,0.0,44
8102025,12,33.66853364420155,-110.21078151941501,0,1013.5,18.5,6.4,17.1,163,3.8,0.0,45
8102025,13,33.66853364420155,-110.21078151941501,0,1014.1,19.0,6.8,17.6,151,4.5,0.0,45
8102025,14,33.66853364420155,-110.21078151941501,0,1013.8,21.5,9.1,20.9,90,2.9,0.0,45
8102025,15,33.66853364420155,-110.21078151941501,0,1013.2,23.4,11.8,22.9,354,6.9,0.0,48
8102025,16,33.66853364420155,-110.21078151941501,0,1013.1,25.2,12.4,24.4,8,10.2,0.0,45
8102025,17,33.66853364420155,-110.21078151941501,0,1012.7,27.3,13.3,27.4,353,12.7,0.0,42
8102025,18,33.66853364420155,-110.21078151941501,0,1012.0,29.5,12.9,30.1,345,14.1,0.0,36
8102025,19,33.66853364420155,-110.21078151941501,0,1010.8,31.3,10.6,31.4,346,14.8,0.0,28
8102025,20,33.66853364420155,-110.21078151941501,0,1009.4,32.8,8.3,32.7,328,13.6,0.0,22
8102025,21,33.66853364420155,-110.21078151941501,0,1008.7,32.7,6.1,30.3,334,18.8,0.0,19
8102025,22,33.66853364420155,-110.21078151941501,0,1007.3,31.9,7.6,27.5,324,25.8,0.0,22
8102025,23,33.66853364420155,-110.21078151941501,0,1007.3,31.4,7.8,26.5,326,30.1,0.0,23
8102025,24,33.66853364420155,-110.21078151941501,0,1007.7,30.6,6.5,24.8,345,34.0,0.0,22
