DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
09162025,0,41.544551319935195,-123.5628795281435,78,1010.5,26.5,3.1,23.8,24,7.9,0.0,22
09162025,1,41.544551319935195,-123.5628795281435,78,1010.3,25.7,3.6,23.2,37,7.2,0.0,24
09162025,2,41.544551319935195,-123.5628795281435,78,1010.1,23.2,2.6,20.3,18,8.3,0.0,26
09162025,3,41.544551319935195,-123.5628795281435,78,1010.2,21.2,0.4,17.8,24,8.7,0.0,25
09162025,4,41.544551319935195,-123.5628795281435,78,1010.7,20.0,-1.2,16.6,14,7.4,0.0,24
09162025,5,41.544551319935195,-123.5628795281435,78,1010.7,19.3,-1.8,15.7,5,8.7,0.0,24
09162025,6,41.544551319935195,-123.5628795281435,78,1010.9,18.2,-1.7,14.1,24,11.4,0.0,26
09162025,7,41.544551319935195,-123.5628795281435,78,1011.3,17.9,-0.4,14.2,33,10.7,0.0,29
09162025,8,41.544551319935195,-123.5628795281435,78,1011.5,17.8,-0.0,14.2,29,10.3,0.0,30
09162025,9,41.544551319935195,-123.5628795281435,78,1011.5,16.8,-0.9,12.9,29,11.1,0.0,30
09162025,10,41.544551319935195,-123.5628795281435,78,1011.5,16.2,2.9,12.7,24,12.2,0.0,41
09162025,11,41.544551319935195,-123.5628795281435,78,1011.1,13.9,5.3,10.8,31,13.4,0.0,56
09162025,12,41.544551319935195,-123.5628795281435,78,1011.1,13.7,4.0,10.5,39,12.0,0.0,52
09162025,13,41.544551319935195,-123.5628795281435,78,1011.2,13.1,3.5,9.7,42,13.0,0.0,52
09162025,14,41.544551319935195,-123.5628795281435,78,1011.2,12.6,3.0,9.2,31,12.6,0.0,52
09162025,15,41.544551319935195,-123.5628795281435,78,1011.6,13.8,3.6,10.6,30,11.6,0.0,50
09162025,16,41.544551319935195,-123.5628795281435,78,1012.1,16.8,5.4,14.1,33,10.7,0.0,47
09162025,17,41.544551319935195,-123.5628795281435,78,1012.4,19.3,4.3,16.3,37,11.3,0.0,37
09162025,18,41.544551319935195,-123.5628795281435,78,1012.7,21.9,4.9,19.5,35,10.6,0.0,33
09162025,19,41.544551319935195,-123.5628795281435,78,1012.7,24.9,5.1,23.8,39,6.9,0.0,28
09162025,20,41.544551319935195,-123.5628795281435,78,1012.8,26.7,3.2,26.5,56,2.6,0.0,22
09162025,21,41.544551319935195,-123.5628795281435,78,1012.4,28.5,3.3,27.8,176,5.1,0.0,20
09162025,22,41.544551319935195,-123.5628795281435,78,1012.9,29.0,5.1,27.7,244,9.2,0.0,22
09162025,23,41.544551319935195,-123.5628795281435,78,1012.8,28.0,7.2,25.6,267,14.8,0.0,27
09162025,24,41.544551319935195,-123.5628795281435,78,1013.0,27.2,7.6,24.2,274,15.9,0.0,29
