DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
09142025,0,43.2988450998561,-109.9170785800705,62,1011.5,10.4,0.4,6.5,239,12.6,0.0,50
09142025,1,43.2988450998561,-109.9170785800705,62,1011.8,7.8,1.2,4.4,294,9.8,0.0,63
09142025,2,43.2988450998561,-109.9170785800705,62,1012.3,6.4,-0.1,3.3,90,6.5,0.0,63
09142025,3,43.2988450998561,-109.9170785800705,62,1012.2,4.9,-2.3,1.2,128,8.2,0.0,60
09142025,4,43.2988450998561,-109.9170785800705,62,1013.2,4.6,-5.2,0.9,146,6.5,0.0,49
09142025,5,43.2988450998561,-109.9170785800705,62,1012.4,4.0,-6.9,0.8,207,1.6,0.0,45
09142025,6,43.2988450998561,-109.9170785800705,62,1013.5,3.3,-7.0,-0.3,221,3.8,0.0,47
09142025,7,43.2988450998561,-109.9170785800705,62,1013.9,3.1,-7.2,-0.6,180,4.7,0.0,47
09142025,8,43.2988450998561,-109.9170785800705,62,1013.5,2.2,-6.4,-1.4,167,4.8,0.0,53
09142025,9,43.2988450998561,-109.9170785800705,62,1013.3,2.2,-6.4,-1.5,167,4.8,0.0,53
09142025,10,43.2988450998561,-109.9170785800705,62,1013.4,1.8,-5.2,-2.2,153,8.0,0.0,60
09142025,11,43.2988450998561,-109.9170785800705,62,1013.6,1.8,-5.8,-2.1,147,7.3,0.0,57
09142025,12,43.2988450998561,-109.9170785800705,62,1013.7,1.7,-6.1,-2.4,144,8.0,0.0,56
09142025,13,43.2988450998561,-109.9170785800705,62,1014.1,1.6,-6.3,-2.8,191,9.5,0.0,56
09142025,14,43.2988450998561,-109.9170785800705,62,1014.6,2.4,-6.0,-1.6,194,7.4,0.0,54
09142025,15,43.2988450998561,-109.9170785800705,62,1014.3,5.9,-1.3,2.8,219,5.1,0.0,60
09142025,16,43.2988450998561,-109.9170785800705,62,1013.9,7.7,-0.3,3.8,227,12.2,0.0,57
09142025,17,43.2988450998561,-109.9170785800705,62,1013.1,9.1,-0.2,4.7,236,17.9,0.0,52
09142025,18,43.2988450998561,-109.9170785800705,62,1012.5,10.4,-0.1,6.4,235,19.7,0.0,48
09142025,19,43.2988450998561,-109.9170785800705,62,1010.9,11.6,-0.6,7.1,256,23.7,0.0,43
09142025,20,43.2988450998561,-109.9170785800705,62,1009.9,12.3,-1.3,8.3,248,21.0,0.0,39
09142025,21,43.2988450998561,-109.9170785800705,62,1008.6,12.9,-0.4,8.9,260,20.1,0.0,40
09142025,22,43.2988450998561,-109.9170785800705,62,1007.7,12.8,-0.5,8.0,259,21.6,0.0,40
09142025,23,43.2988450998561,-109.9170785800705,62,1007.0,12.8,-0.5,7.6,268,20.5,0.0,40
09142025,24,43.2988450998561,-109.9170785800705,62,1007.2,12.1,-0.5,6.7,268,22.0,0.0,42
