DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8042025,0,36.389233576500104,-112.0527927505,12,1005.4,28.2,-10.9,22.7,264,17.0,0.0,7
8042025,1,36.389233576500104,-112.0527927505,12,1005.5,27.2,-11.7,21.4,264,16.3,0.0,7
8042025,2,36.389233576500104,-112.0527927505,12,1005.0,25.6,-11.1,19.5,261,18.9,0.0,8
8042025,3,36.389233576500104,-112.0527927505,12,1006.2,22.6,-12.0,16.9,258,15.5,0.0,9
8042025,4,36.389233576500104,-112.0527927505,12,1006.9,20.5,-13.5,13.1,253,27.1,0.0,9
8042025,5,36.389233576500104,-112.0527927505,12,1007.1,19.7,-12.8,10.7,249,38.2,0.0,10
8042025,6,36.389233576500104,-112.0527927505,12,1007.6,18.4,-12.7,10.0,249,33.8,0.0,11
8042025,7,36.389233576500104,-112.0527927505,12,1007.9,17.6,-10.3,9.3,251,33.8,0.0,14
8042025,8,36.389233576500104,-112.0527927505,12,1007.2,17.1,-9.8,8.5,250,36.8,0.0,15
8042025,9,36.389233576500104,-112.0527927505,12,1007.5,16.8,-10.0,8.0,254,38.3,0.0,15
8042025,10,36.389233576500104,-112.0527927505,12,1007.5,16.5,-12.1,6.7,256,43.7,0.0,13
8042025,11,36.389233576500104,-112.0527927505,12,1007.9,16.3,-11.3,6.2,252,45.8,0.0,14
8042025,12,36.389233576500104,-112.0527927505,12,1008.8,16.4,-9.6,6.5,250,45.6,0.0,16
8042025,13,36.389233576500104,-112.0527927505,12,1009.8,16.3,-8.8,7.9,251,35.7,0.0,17
8042025,14,36.389233576500104,-112.0527927505,12,1009.1,17.7,-6.2,10.6,250,28.7,0.0,19
8042025,15,36.389233576500104,-112.0527927505,12,1009.3,19.9,-4.4,12.3,249,33.2,0.0,19
8042025,16,36.389233576500104,-112.0527927505,12,1010.3,21.7,-5.2,13.6,249,36.6,0.0,16
8042025,17,36.389233576500104,-112.0527927505,12,1010.2,22.7,-2.9,14.4,250,40.9,0.0,18
8042025,18,36.389233576500104,-112.0527927505,12,1009.7,23.9,-0.5,16.5,250,41.8,0.0,20
8042025,19,36.389233576500104,-112.0527927505,12,1007.9,25.0,0.4,17.6,251,45.2,0.0,20
8042025,20,36.389233576500104,-112.0527927505,12,1007.0,26.3,-3.4,18.4,251,46.3,0.0,14
8042025,21,36.389233576500104,-112.0527927505,12,1006.0,26.3,-7.8,18.1,241,40.3,0.0,10
8042025,22,36.389233576500104,-112.0527927505,12,1005.5,27.4,-9.8,20.0,238,37.1,0.0,8
8042025,23,36.389233576500104,-112.0527927505,12,1005.0,27.2,-11.7,19.5,246,35.1,0.0,7
8042025,24,36.389233576500104,-112.0527927505,12,1005.1,26.9,-10.2,19.1,240,31.3,0.0,8
