DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8072025,0,39.9946584999831,-107.69660071633601,0,1008.2,26.9,-2.9,21.5,250,19.6,0.0,14
8072025,1,39.9946584999831,-107.69660071633601,0,1007.0,25.6,-3.0,21.2,238,12.8,0.0,15
8072025,2,39.9946584999831,-107.69660071633601,0,1007.3,23.8,-4.4,19.7,230,9.4,0.0,15
8072025,3,39.9946584999831,-107.69660071633601,0,1007.7,22.0,-5.0,18.2,203,7.4,0.0,16
8072025,4,39.9946584999831,-107.69660071633601,0,1008.0,20.8,-5.2,17.0,111,7.0,0.0,17
8072025,5,39.9946584999831,-107.69660071633601,0,1008.5,21.0,-5.0,16.3,67,12.9,0.0,17
8072025,6,39.9946584999831,-107.69660071633601,0,1009.1,19.8,-3.8,15.1,93,14.1,0.0,20
8072025,7,39.9946584999831,-107.69660071633601,0,1008.8,19.5,-2.8,15.3,68,11.3,0.0,22
8072025,8,39.9946584999831,-107.69660071633601,0,1008.9,18.9,-4.6,14.2,109,13.0,0.0,20
8072025,9,39.9946584999831,-107.69660071633601,0,1009.1,18.6,-3.5,14.2,59,12.6,0.0,22
8072025,10,39.9946584999831,-107.69660071633601,0,1009.2,16.5,-1.1,12.4,50,12.3,0.0,30
8072025,11,39.9946584999831,-107.69660071633601,0,1009.8,17.2,-4.2,13.6,83,5.8,0.0,23
8072025,12,39.9946584999831,-107.69660071633601,0,1010.7,16.9,-4.4,13.4,86,5.4,0.0,23
8072025,13,39.9946584999831,-107.69660071633601,0,1011.4,16.8,-5.0,12.9,72,8.0,0.0,22
8072025,14,39.9946584999831,-107.69660071633601,0,1011.6,18.9,-2.7,14.9,82,10.2,0.0,23
8072025,15,39.9946584999831,-107.69660071633601,0,1012.5,23.2,-1.7,19.2,220,11.2,0.0,19
8072025,16,39.9946584999831,-107.69660071633601,0,1012.0,25.3,-1.5,20.1,268,20.5,0.0,17
8072025,17,39.9946584999831,-107.69660071633601,0,1010.5,26.6,-3.1,20.7,245,29.3,0.0,14
8072025,18,39.9946584999831,-107.69660071633601,0,1009.2,27.3,-2.5,21.4,243,33.0,0.0,14
8072025,19,39.9946584999831,-107.69660071633601,0,1008.1,27.9,-2.1,22.3,241,32.6,0.0,14
8072025,20,39.9946584999831,-107.69660071633601,0,1006.8,28.1,-2.9,21.2,246,38.7,0.0,13
8072025,21,39.9946584999831,-107.69660071633601,0,1006.3,28.0,-5.2,20.7,252,34.8,0.0,11
8072025,22,39.9946584999831,-107.69660071633601,0,1005.7,27.5,-5.6,20.0,256,31.9,0.0,11
8072025,23,39.9946584999831,-107.69660071633601,0,1004.9,27.2,-8.5,19.1,247,33.7,0.0,9
8072025,24,39.9946584999831,-107.69660071633601,0,1004.0,26.9,-7.3,19.5,235,30.0,0.0,10
