DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
09132025,0,41.42092791048775,-123.277850668437,0,1012.6,19.5,12.5,19.3,273,6.1,0.0,64
09132025,1,41.42092791048775,-123.277850668437,0,1012.4,18.2,13.0,18.4,274,5.1,0.0,72
09132025,2,41.42092791048775,-123.277850668437,0,1012.3,16.7,11.4,17.0,225,0.5,0.0,71
09132025,3,41.42092791048775,-123.277850668437,0,1012.4,15.2,10.1,14.7,119,3.7,0.0,72
09132025,4,41.42092791048775,-123.277850668437,0,1012.9,14.4,8.5,13.4,114,3.5,0.0,68
09132025,5,41.42092791048775,-123.277850668437,0,1012.8,14.0,6.8,12.2,153,6.4,0.0,62
09132025,6,41.42092791048775,-123.277850668437,0,1012.8,14.1,6.2,12.3,155,6.0,0.0,59
09132025,7,41.42092791048775,-123.277850668437,0,1012.8,14.3,4.8,12.3,188,5.4,0.0,53
09132025,8,41.42092791048775,-123.277850668437,0,1013.0,14.1,4.4,12.0,164,5.2,0.0,52
09132025,9,41.42092791048775,-123.277850668437,0,1012.7,14.1,4.1,11.6,174,7.2,0.0,51
09132025,10,41.42092791048775,-123.277850668437,0,1012.1,14.6,2.8,11.7,182,8.3,0.0,45
09132025,11,41.42092791048775,-123.277850668437,0,1012.0,14.7,2.9,12.1,196,6.7,0.0,45
09132025,12,41.42092791048775,-123.277850668437,0,1011.8,13.1,3.5,10.7,227,5.9,0.0,52
09132025,13,41.42092791048775,-123.277850668437,0,1012.1,12.9,3.3,10.9,216,3.1,0.0,52
09132025,14,41.42092791048775,-123.277850668437,0,1011.7,12.9,3.3,10.8,212,3.4,0.0,52
09132025,15,41.42092791048775,-123.277850668437,0,1012.1,12.9,4.3,10.5,196,6.7,0.0,56
09132025,16,41.42092791048775,-123.277850668437,0,1012.3,15.4,7.9,14.4,193,3.3,0.0,61
09132025,17,41.42092791048775,-123.277850668437,0,1012.3,16.3,11.0,16.1,333,3.2,0.0,71
09132025,18,41.42092791048775,-123.277850668437,0,1012.2,17.0,11.9,17.3,318,4.8,0.0,72
09132025,19,41.42092791048775,-123.277850668437,0,1012.1,18.0,12.2,19.0,315,6.1,0.0,69
09132025,20,41.42092791048775,-123.277850668437,0,1011.7,19.0,11.5,19.9,303,7.3,0.0,62
09132025,21,41.42092791048775,-123.277850668437,0,1011.4,19.9,11.1,20.1,291,11.2,0.0,57
09132025,22,41.42092791048775,-123.277850668437,0,1011.0,19.8,10.8,19.3,287,13.2,0.0,56
09132025,23,41.42092791048775,-123.277850668437,0,1010.5,19.4,10.9,18.7,278,10.9,0.0,58
09132025,24,41.42092791048775,-123.277850668437,0,1010.5,18.7,10.2,17.0,277,12.0,0.0,58
