DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
08232025,0,38.62196347420395,-122.5211985040525,7,1008.3,30.4,7.6,27.6,263,14.5,0.0,24
08232025,1,38.62196347420395,-122.5211985040525,7,1008.1,29.6,8.7,27.4,263,12.7,0.0,27
08232025,2,38.62196347420395,-122.5211985040525,7,1008.1,27.2,7.7,25.0,285,10.8,0.0,29
08232025,3,38.62196347420395,-122.5211985040525,7,1008.6,24.8,3.5,22.3,292,6.6,0.0,25
08232025,4,38.62196347420395,-122.5211985040525,7,1009.0,25.0,-0.2,21.4,312,9.7,0.0,19
08232025,5,38.62196347420395,-122.5211985040525,7,1009.7,25.8,-2.8,22.0,310,8.9,0.0,15
08232025,6,38.62196347420395,-122.5211985040525,7,1009.6,25.8,-1.1,22.3,313,8.9,0.0,17
08232025,7,38.62196347420395,-122.5211985040525,7,1009.8,24.6,-0.5,21.2,325,8.8,0.0,19
08232025,8,38.62196347420395,-122.5211985040525,7,1009.9,24.7,-2.0,21.4,335,6.0,0.0,17
08232025,9,38.62196347420395,-122.5211985040525,7,1009.9,23.0,-2.6,19.8,321,5.1,0.0,18
08232025,10,38.62196347420395,-122.5211985040525,7,1009.5,23.9,-1.9,20.0,316,9.9,0.0,18
08232025,11,38.62196347420395,-122.5211985040525,7,1009.4,23.7,-2.8,20.2,317,6.9,0.0,17
08232025,12,38.62196347420395,-122.5211985040525,7,1009.8,22.6,-0.8,19.7,315,4.6,0.0,21
08232025,13,38.62196347420395,-122.5211985040525,7,1009.7,23.5,-3.0,20.3,337,4.7,0.0,17
08232025,14,38.62196347420395,-122.5211985040525,7,1010.5,23.0,-1.9,19.9,342,4.6,0.0,19
08232025,15,38.62196347420395,-122.5211985040525,7,1010.6,22.6,-0.8,19.5,353,5.8,0.0,21
08232025,16,38.62196347420395,-122.5211985040525,7,1011.0,27.2,4.3,25.0,53,5.4,0.0,23
08232025,17,38.62196347420395,-122.5211985040525,7,1011.0,29.0,5.8,26.8,87,7.9,0.0,23
08232025,18,38.62196347420395,-122.5211985040525,7,1011.1,30.0,7.9,29.9,90,3.2,0.0,25
08232025,19,38.62196347420395,-122.5211985040525,7,1011.0,30.5,8.9,30.9,223,6.9,0.0,26
08232025,20,38.62196347420395,-122.5211985040525,7,1010.4,30.2,10.7,30.5,235,11.9,0.0,30
08232025,21,38.62196347420395,-122.5211985040525,7,1010.1,29.5,12.9,30.4,251,12.2,0.0,36
08232025,22,38.62196347420395,-122.5211985040525,7,1009.7,29.7,13.5,29.3,262,18.9,0.0,37
08232025,23,38.62196347420395,-122.5211985040525,7,1009.5,30.8,8.5,28.9,255,16.4,0.0,25
08232025,24,38.62196347420395,-122.5211985040525,7,1010.2,27.3,8.7,23.9,254,22.1,0.0,31
