DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8202025,0,43.60669749987155,-107.8377510978105,28,1008.6,34.7,-6.2,30.3,168,10.3,0.0,7
8202025,1,43.60669749987155,-107.8377510978105,28,1007.7,34.0,-4.9,29.9,167,9.3,0.0,8
8202025,2,43.60669749987155,-107.8377510978105,28,1007.8,30.8,-7.3,25.8,158,13.2,0.0,8
8202025,3,43.60669749987155,-107.8377510978105,28,1007.9,27.6,-6.7,22.6,168,14.3,0.0,10
8202025,4,43.60669749987155,-107.8377510978105,28,1008.2,26.8,-7.4,21.4,166,16.3,0.0,10
8202025,5,43.60669749987155,-107.8377510978105,28,1007.9,25.7,-7.0,20.2,166,17.5,0.0,11
8202025,6,43.60669749987155,-107.8377510978105,28,1007.8,25.3,-4.1,19.3,182,22.7,0.0,14
8202025,7,43.60669749987155,-107.8377510978105,28,1007.7,25.5,-0.6,19.8,181,23.8,0.0,18
8202025,8,43.60669749987155,-107.8377510978105,28,1008.0,24.9,1.1,19.0,175,26.7,0.0,21
8202025,9,43.60669749987155,-107.8377510978105,28,1007.8,24.8,1.6,18.1,171,33.1,0.0,22
8202025,10,43.60669749987155,-107.8377510978105,28,1007.5,24.0,3.3,17.9,173,31.2,0.0,26
8202025,11,43.60669749987155,-107.8377510978105,28,1007.0,23.9,3.3,17.3,177,35.0,0.0,26
8202025,12,43.60669749987155,-107.8377510978105,28,1007.5,23.5,1.8,17.6,172,28.0,0.0,24
8202025,13,43.60669749987155,-107.8377510978105,28,1008.3,22.9,2.4,16.4,170,32.6,0.0,26
8202025,14,43.60669749987155,-107.8377510978105,28,1008.7,24.7,2.8,19.0,173,28.3,0.0,24
8202025,15,43.60669749987155,-107.8377510978105,28,1009.3,28.3,0.1,22.9,174,22.4,0.0,16
8202025,16,43.60669749987155,-107.8377510978105,28,1009.4,31.5,-3.8,26.6,175,15.9,0.0,10
8202025,17,43.60669749987155,-107.8377510978105,28,1009.0,33.8,-3.5,30.7,169,9.2,0.0,9
8202025,18,43.60669749987155,-107.8377510978105,28,1008.3,35.5,-2.2,34.1,324,4.9,0.0,9
8202025,19,43.60669749987155,-107.8377510978105,28,1007.8,36.5,-3.1,33.0,290,18.0,0.0,8
8202025,20,43.60669749987155,-107.8377510978105,28,1007.8,37.0,-4.5,33.4,300,17.9,0.0,7
8202025,21,43.60669749987155,-107.8377510978105,28,1007.8,35.7,-0.6,30.6,15,22.0,0.0,10
8202025,22,43.60669749987155,-107.8377510978105,28,1007.1,35.8,-0.5,31.9,27,17.7,0.0,10
8202025,23,43.60669749987155,-107.8377510978105,28,1005.9,35.6,-0.7,31.2,29,17.7,0.0,10
8202025,24,43.60669749987155,-107.8377510978105,28,1005.7,35.0,0.1,30.4,38,16.9,0.0,11
