DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
09272025,0,47.8941941378512,-118.4332172226195,96,1016.2,17.2,1.6,12.6,240,18.2,0.0,35
09272025,1,47.8941941378512,-118.4332172226195,96,1015.4,15.6,1.3,11.3,233,16.2,0.0,38
09272025,2,47.8941941378512,-118.4332172226195,96,1015.3,14.5,-0.0,10.3,243,14.5,0.0,37
09272025,3,47.8941941378512,-118.4332172226195,96,1015.3,13.3,-0.8,9.4,253,10.9,0.0,38
09272025,4,47.8941941378512,-118.4332172226195,96,1015.7,13.0,-1.7,8.6,252,14.3,0.0,36
09272025,5,47.8941941378512,-118.4332172226195,96,1015.6,12.4,-1.5,8.0,252,14.3,0.0,38
09272025,6,47.8941941378512,-118.4332172226195,96,1015.1,12.0,-1.2,7.8,252,12.9,0.0,40
09272025,7,47.8941941378512,-118.4332172226195,96,1015.3,11.9,-0.6,7.7,258,13.6,0.0,42
09272025,8,47.8941941378512,-118.4332172226195,96,1015.4,11.8,-0.7,7.4,251,14.5,0.0,42
09272025,9,47.8941941378512,-118.4332172226195,96,1014.9,11.5,-1.0,7.6,237,11.2,0.0,42
09272025,10,47.8941941378512,-118.4332172226195,96,1014.5,11.5,-1.0,7.4,219,12.0,0.0,42
09272025,11,47.8941941378512,-118.4332172226195,96,1014.1,11.2,-1.9,7.6,208,8.5,0.0,40
09272025,12,47.8941941378512,-118.4332172226195,96,1013.4,10.7,-2.7,7.1,183,7.9,0.0,39
09272025,13,47.8941941378512,-118.4332172226195,96,1013.2,10.7,-3.1,7.0,172,7.6,0.0,38
09272025,14,47.8941941378512,-118.4332172226195,96,1012.6,10.6,-4.6,6.7,160,8.4,0.0,34
09272025,15,47.8941941378512,-118.4332172226195,96,1012.6,11.9,-3.1,8.5,150,5.8,0.0,35
09272025,16,47.8941941378512,-118.4332172226195,96,1012.7,13.6,-1.6,10.1,137,7.9,0.0,35
09272025,17,47.8941941378512,-118.4332172226195,96,1012.7,14.9,-1.3,11.5,141,7.4,0.0,33
09272025,18,47.8941941378512,-118.4332172226195,96,1012.0,16.5,-0.7,13.0,138,8.7,0.0,31
09272025,19,47.8941941378512,-118.4332172226195,96,1010.7,18.2,-0.6,15.1,143,7.7,0.0,28
09272025,20,47.8941941378512,-118.4332172226195,96,1009.6,19.8,-0.8,16.6,162,9.1,0.0,25
09272025,21,47.8941941378512,-118.4332172226195,96,1009.0,20.9,-0.4,17.5,170,10.2,0.0,24
09272025,22,47.8941941378512,-118.4332172226195,96,1008.3,21.4,-0.6,17.7,178,9.7,0.0,23
09272025,23,47.8941941378512,-118.4332172226195,96,1007.6,21.7,-1.0,18.1,169,9.2,0.0,22
09272025,24,47.8941941378512,-118.4332172226195,96,1006.9,21.5,-1.1,18.0,167,8.1,0.0,22
