DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
08312025,0,46.70100917881035,-112.82246603840551,0,1015.3,20.8,1.6,16.9,294,14.2,0.0,28
08312025,1,46.70100917881035,-112.82246603840551,0,1014.9,19.7,-2.0,15.1,290,14.6,0.0,23
08312025,2,46.70100917881035,-112.82246603840551,0,1015.6,16.8,1.6,13.8,288,8.0,0.0,36
08312025,3,46.70100917881035,-112.82246603840551,0,1015.9,15.2,1.0,11.8,291,10.0,0.0,38
08312025,4,46.70100917881035,-112.82246603840551,0,1016.6,14.3,1.2,10.8,290,10.7,0.0,41
08312025,5,46.70100917881035,-112.82246603840551,0,1017.2,13.4,1.4,9.8,292,11.6,0.0,44
08312025,6,46.70100917881035,-112.82246603840551,0,1016.9,12.4,0.8,8.2,293,14.8,0.0,45
08312025,7,46.70100917881035,-112.82246603840551,0,1017.0,11.6,0.1,7.8,290,11.5,0.0,45
08312025,8,46.70100917881035,-112.82246603840551,0,1017.1,11.3,0.1,7.4,273,11.9,0.0,46
08312025,9,46.70100917881035,-112.82246603840551,0,1017.3,10.5,0.5,6.7,260,12.1,0.0,50
08312025,10,46.70100917881035,-112.82246603840551,0,1017.2,11.1,-0.7,7.1,258,11.8,0.0,44
08312025,11,46.70100917881035,-112.82246603840551,0,1017.3,11.5,-2.0,7.5,259,11.4,0.0,39
08312025,12,46.70100917881035,-112.82246603840551,0,1017.4,10.2,-1.8,6.1,242,12.2,0.0,43
08312025,13,46.70100917881035,-112.82246603840551,0,1017.9,10.2,-2.8,6.0,237,12.0,0.0,40
08312025,14,46.70100917881035,-112.82246603840551,0,1017.8,11.8,-2.4,7.8,230,10.7,0.0,37
08312025,15,46.70100917881035,-112.82246603840551,0,1017.5,15.1,-1.0,11.7,231,7.9,0.0,33
08312025,16,46.70100917881035,-112.82246603840551,0,1018.0,17.9,-1.4,14.2,242,9.3,0.0,27
08312025,17,46.70100917881035,-112.82246603840551,0,1018.1,19.1,-1.4,15.3,252,11.4,0.0,25
08312025,18,46.70100917881035,-112.82246603840551,0,1017.8,20.6,-1.2,17.9,259,9.2,0.0,23
08312025,19,46.70100917881035,-112.82246603840551,0,1016.9,21.9,-1.4,19.7,261,8.8,0.0,21
08312025,20,46.70100917881035,-112.82246603840551,0,1016.3,22.8,-1.3,21.1,252,7.2,0.0,20
08312025,21,46.70100917881035,-112.82246603840551,0,1015.7,23.6,-1.4,21.8,241,6.6,0.0,19
08312025,22,46.70100917881035,-112.82246603840551,0,1015.0,24.0,-1.8,22.5,297,1.6,0.0,18
08312025,23,46.70100917881035,-112.82246603840551,0,1014.4,23.6,-1.4,20.3,35,7.5,0.0,19
08312025,24,46.70100917881035,-112.82246603840551,0,1014.4,22.9,-1.9,19.0,45,10.2,0.0,19
