DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
03112026,0,35.58178874800965,-102.18336642840549,55,1000.6,24.7,-6.6,17.5,186,29.7,0.0,12
03112026,1,35.58178874800965,-102.18336642840549,55,1001.8,21.8,0.3,14.3,237,36.9,0.0,24
03112026,2,35.58178874800965,-102.18336642840549,55,1002.6,19.3,0.8,14.2,220,21.5,0.0,29
03112026,3,35.58178874800965,-102.18336642840549,55,1001.6,17.2,2.4,13.0,232,17.4,0.0,37
03112026,4,35.58178874800965,-102.18336642840549,55,1001.7,15.3,1.0,11.4,244,13.2,0.0,38
03112026,5,35.58178874800965,-102.18336642840549,55,1001.4,14.4,-0.8,9.8,252,16.6,0.0,35
03112026,6,35.58178874800965,-102.18336642840549,55,1001.1,13.4,0.1,9.2,251,14.5,0.0,40
03112026,7,35.58178874800965,-102.18336642840549,55,1000.8,11.7,1.0,7.2,269,17.3,0.0,48
03112026,8,35.58178874800965,-102.18336642840549,55,1001.9,12.1,2.5,6.5,296,26.4,0.0,52
03112026,9,35.58178874800965,-102.18336642840549,55,1005.8,7.9,1.1,-3.6,12,65.2,0.0,62
03112026,10,35.58178874800965,-102.18336642840549,55,1008.6,4.7,-0.9,-4.6,13,48.0,0.0,67
03112026,11,35.58178874800965,-102.18336642840549,55,1011.7,5.1,-2.2,-0.2,26,20.0,0.0,59
03112026,12,35.58178874800965,-102.18336642840549,55,1013.9,4.0,-2.9,-1.9,13,23.2,0.0,61
03112026,13,35.58178874800965,-102.18336642840549,55,1016.2,3.3,-3.3,-1.6,13,16.2,0.0,62
03112026,14,35.58178874800965,-102.18336642840549,55,1018.2,4.8,-2.3,-1.2,12,24.3,0.0,60
03112026,15,35.58178874800965,-102.18336642840549,55,1020.3,7.1,-2.1,-1.9,15,45.5,0.0,52
03112026,16,35.58178874800965,-102.18336642840549,55,1022.9,8.8,-4.1,-1.3,15,50.6,0.0,40
03112026,17,35.58178874800965,-102.18336642840549,55,1024.2,10.0,-3.7,0.5,19,49.7,0.0,38
03112026,18,35.58178874800965,-102.18336642840549,55,1024.5,11.1,-6.8,1.5,21,51.2,0.0,28
03112026,19,35.58178874800965,-102.18336642840549,55,1024.4,11.6,-4.6,3.6,20,43.7,0.0,32
03112026,20,35.58178874800965,-102.18336642840549,55,1025.0,12.6,-7.4,4.8,21,40.9,0.0,24
03112026,21,35.58178874800965,-102.18336642840549,55,1025.5,12.7,-7.9,5.3,22,36.0,0.0,23
03112026,22,35.58178874800965,-102.18336642840549,55,1026.8,12.6,-8.0,5.2,26,32.4,0.0,23
03112026,23,35.58178874800965,-102.18336642840549,55,1028.0,12.0,-9.1,4.5,26,29.3,0.0,22
03112026,24,35.58178874800965,-102.18336642840549,55,1028.0,10.5,-9.8,3.8,33,24.2,0.0,23
